"Timestamp","Are you reviewing a project or a homework assignment?","Which project are you reviewing (enter a # between 1 and 11)?","On a scale from 1 to 5, how satisfied are you with the rubric for this project?","In what ways was this rubric helpful to you?","In what ways could this rubric be more helpful?","On a scale from 1 to 5, how satisfied are you with the checklist for this project?","In what ways was this checklist helpful to you?","In what ways could this checklist be more helpful?","Which homework assignment are you reviewing (enter a # between 1 and 22)?","Have you had a chance to check out the key for this assignment?","How satisfied are you with the homework key?","In what ways was this homework key helpful to you?","In what ways could this homework key be more helpful?","How much time did you spend on this assignment in hours?","What resources did you use to help you complete this assignment?","Which of the following emotions did you experience **before** starting this project (select all that apply)?","Which of the following emotions did you experience while completing this project (select all that apply)?","Which of the following emotions did you experience **after** completing this project (select all that apply)?"
"2021/12/21 9:48:46 PM AST","Project","9","5","Well described the aspects of the project","N/A","","","","","","","","","6","","","",""
"2021/12/21 9:48:47 PM AST","Project","8","4","N/A","Don't really know what the ""Understanding of Modern Cryptography"" is supposed to mean","","","","","","","","","6","","","",""
"2021/12/21 9:48:48 PM AST","Project","10","4","It told me what was expected.","If the points could be broken down to specific areas of the code that you expect to be in a specific way, it would be more helpful.","","","","","","","","","4","","","",""
"2021/12/21 9:48:50 PM AST","Project","10","5","The rubric explained what needed to be done to achieve the points.","N/A","","","","","","","","","6","","","",""
"2021/12/21 9:48:51 PM AST","Project","10","4","The rubric helped me when I was doing my JUnit cases, because initially I didn't have descriptive comments, but I fixed it when I saw it on the rubric.","It could maybe be more descriptive about things that it's looking out for in the ""start from scratch"" category.","","","","","","","","","16","","","",""
"2021/12/21 9:48:52 PM AST","Project","10","4","It laid out the guidelines for the project pretty well","All requirements for the program were pretty much compacted into one category. I think it would be more helpful if the different requirements of the program were separated into their own categories, each of which having points associated.","","","","","","","","","1.5","","","",""
"2021/12/21 9:48:54 PM AST","Project","2","4","Don't have much to say","Don't have much to say","","","","","","","","","3","","","",""
"2021/12/21 9:48:55 PM AST","Project","10","2","maybe have to example and output what it should look like","maybe have to example and output what it should look like","","","","","","","","","10","","","",""
"2021/12/21 9:48:56 PM AST","Project","2","4","It told me well what I was supposed to use for the project.","Stating somewhere early on in the year to fix all checkstyle errors and pointing out that there is a signature at the top of the file to fill out, but these are minor.","","","","","","","","","2","","","",""
"2021/12/21 9:48:58 PM AST","Project","9","5","I could know what was expected.","More detail specific to the project.","","","","","","","","","","","","",""
"2021/12/21 9:48:59 PM AST","Project","9","5","I appreciated the reminder to name the JUnit test cases in a way that explains their purpose.","I'm not sure","","","","","","","","","","","","",""
"2021/12/21 9:49:01 PM AST","Project","9","4","The rubric is very clear on what to watch out for","Understanding of computational biology section seems a bit vague","","","","","","","","","","","","",""
"2021/12/21 9:49:02 PM AST","Project","9","3","the test cases part, it was as about specific as you can get","i didn't know what the part about set preconditions meant","","","","","","","","","","","","",""
"2021/12/21 9:49:04 PM AST","Project","8","4","Very clear on what to watch out for","The understanding of the modern cryptography section is a bit vague, but it's still pretty good overall","","","","","","","","","","","","",""
"2021/12/21 9:49:05 PM AST","Project","9","5","The rubric was helpful as it explained what needed to be done to reach full points.","N/A","","","","","","","","","","","","",""
"2021/12/21 9:49:07 PM AST","Project","8","5","Rubric was explanatory in what needed to be done to gain full points.","N/A","","","","","","","","","","","","",""
"2021/12/21 9:49:08 PM AST","Project","6","5","It showed me what I need to do to get the best score possible","I'm not sure ","","","","","","","","","","","","",""
"2021/12/21 9:49:09 PM AST","Project","5","4","It outlines the criteria for success","Im not sure","","","","","","","","","","","","",""
"2021/12/21 9:49:11 PM AST","Project","8","5","It wasn't much but I knew what I was being graded on.","Rubric could be a little more elaborate. 
How many points is each method for? How many test cases needed? 
Something like that would be more helpful.","","","","","","","","","","","","",""
"2021/12/21 9:49:12 PM AST","Project","8","5","Good","N/A","","","","","","","","","","","","",""
"2021/12/21 9:49:14 PM AST","Project","7","5","Good","N/A","","","","","","","","","","","","",""
"2021/12/21 9:49:15 PM AST","Project","7","5","Helped understand the recursion parameters.","Maybe more clear about the use of multiple return statements","","","","","","","","","","","","",""
"2021/12/21 9:49:16 PM AST","Project","7","4","It was mostly clear what was expected of me.","While the rubric was good, I would have liked an elaboration on what the best practices for NaturalNumber, recursion, and XMLTrees were. Otherwise, the rubric was good!","","","","","","","","","","","","",""
"2021/12/21 9:49:18 PM AST","Project","7","5","I like that it pointed out that students should avoid using loops.","I think it is very helpful as it is.","","","","","","","","","","","","",""
"2021/12/21 9:49:19 PM AST","Project","7","5","just making sure that i had everything in my code that i needed","honestly nothing this one was pretty good","","","","","","","","","","","","",""
"2021/12/21 9:49:21 PM AST","Project","7","4","It told me what to do in my project","Definition of ""Peeking at child nodes"" was a little confusing at first","","","","","","","","","","","","",""
"2021/12/21 9:49:22 PM AST","Project","7","5","I understood what I may lose points on.
For example - using loops unnecessarily. ","Could be more elaborate. 
More specific to this project.

But overall. The rubric helped.","","","","","","","","","","","","",""
"2021/12/21 9:49:23 PM AST","Project","7","4","Helped outline what to watch out for.","Not too sure what you mean by ""avoiding peeking at child nodes"".","","","","","","","","","","","","",""
"2021/12/21 9:49:25 PM AST","Project","7","5","Rubric was very good in explaining what needed to be done to achieve the points.","N/A","","","","","","","","","","","","",""
"2021/12/21 9:49:26 PM AST","Project","6","5","It was easy to understand and helpful in knowing what was expected of me.","The rubric is good as is. No improvement is needed!","","","","","","","","","","","","",""
"2021/12/21 9:49:28 PM AST","Project","6","4","Made it clear to not use the toInt method","N/A","","","","","","","","","","","","",""
"2021/12/21 9:49:29 PM AST","Project","6","5","Obvious parameters for what needed done","Show minimum and maximum points if I couldn't figure out a solution.","","","","","","","","","","","","",""
"2021/12/21 9:49:30 PM AST","Project","6","5","Knowing not to create unnecessary references of NaturalNumber. ","It is perfect the way it is.","","","","","","","","","","","","",""
"2021/12/21 9:49:32 PM AST","Project","6","4","A step-by-step rubric that helped me guide my way thru the project","Maybe a little more key detail on each score","","","","","","","","","","","","",""
"2021/12/21 9:49:33 PM AST","Project","6","5","Great rubric","N/A","","","","","","","","","","","","",""
"2021/12/21 9:49:35 PM AST","Project","5","4","Clear and concise","Being more clear about use of for loops/while loops","","","","","","","","","","","","",""
"2021/12/21 9:49:36 PM AST","Project","6","5","The rubric told exactly what was needed to achieve all of the points for this project.","None, the rubric is good as is.","","","","","","","","","","","","",""
"2021/12/21 9:49:38 PM AST","Project","6","4","Pretty straightforward","I can't think of anything, looks good to me","","","","","","","","","","","","",""
"2021/12/21 9:49:39 PM AST","Project","6","4","it is good","""Use of interval halving to invert a function"" could be more clear by saying ""Use of interval halving to calculate sqrt""","","","","","","","","","","","","",""
"2021/12/21 9:49:41 PM AST","Project","6","5","The rubric told me that the main things to look out for way just optimizing the code in terms of Natural Numbers and the algorithm.","No complaints","","","","","","","","","","","","",""
"2021/12/21 9:49:42 PM AST","Project","4","5","It actually told me exactly what I needed to focus on for the project.","No complaints","","","","","","","","","","","","",""
"2021/12/21 9:49:43 PM AST","Project","5","3","It helped me realize the amount of points I could get if I didn't figure it out.","I think the rubric could've had more guidance.","","","","","","","","","","","","",""
"2021/12/21 9:49:45 PM AST","Project","1","5","","","","","","","","","","","","","","",""
"2021/12/21 9:49:46 PM AST","Project","5","4","Specifies all of the points, which is what a rubric should do","Mention more specifically how to address edge cases in teaching","","","","","","","","","","","","",""
"2021/12/21 9:49:48 PM AST","Project","5","5","Everything made me understand the problem well and solve it accordingly.","It can state that we can use for loops and can also tell about the if statements to use it or not.","","","","","","","","","","","","",""
"2021/12/21 9:49:49 PM AST","Project","5","4","Same as 4, it lined out what I needed to watch out for","Same as 4, maybe add the edge cases in the longer description of that part of the rubric.","","","","","","","","","","","","",""
"2021/12/21 9:49:51 PM AST","Project","4","4","It lined out what I needed to make sure I had in my code.","Maybe list all the edge cases in the longer description of that part of the rubric","","","","","","","","","","","","",""
"2021/12/21 9:49:52 PM AST","Project","5","5","It's the same as before so yes it was helpful.","It's the same as before so maybe it can be changed to something specific you are looking for in this project and don't want anyone to miss it.","","","","","","","","","","","","",""
"2021/12/21 9:49:53 PM AST","Project","5","5","The rubric is clear about what I need to do.","I think it is already good.","","","","","","","","","","","","",""
"2021/12/21 9:49:55 PM AST","Project","5","5","It was very clear what the grader's expectations are.","It was perfect as is, no improvement is needed!","","","","","","","","","","","","",""
"2021/12/21 9:49:56 PM AST","Project","5","4","The rubric was fine, explained what needed to be done.","Could be useful to have a link to best practices within the rubric.","","","","","","","","","","","","",""
"2021/12/21 9:49:58 PM AST","Project","4","4","Pretty clear and concise.","The while loops portion was slightly confusing. Didn't know if I was able to use for loops or not","","","","","","","","","","","","",""
"2021/12/21 9:49:59 PM AST","Project","4","5","It help me learn what was expected for the project.","Everything was pretty good and helpful. ","","","","","","","","","","","","",""
"2021/12/21 9:50:01 PM AST","Project","4","3","Helped understand how to use XMLTree","I wish this one helped guide a little this project was really hard","","","","","","","","","","","","",""
"2021/12/21 9:50:02 PM AST","Project","3","4","Guided me a little on the direction to take.","No complaints","","","","","","","","","","","","",""
"2021/12/21 9:50:04 PM AST","Project","4","4","It was helpful to know what the graders expect.","You can remove the generic phrase of ""while and static methods"". 
This confused me just before I submitted as I had done my whole project using for loops.
If the points for this was meant for just using loops and methods using the best practices, then you should probably change the heading.","","","","","","","","","","","","",""
"2021/12/21 9:50:05 PM AST","Project","3","5","It helped me by knowing what the graders expect.","The rubric was perfect.","","","","","","","","","","","","",""
"2021/12/21 9:50:07 PM AST","Project","2","5","It helped me know what the graders expect.","The rubric was perfect","","","","","","","","","","","","",""
"2021/12/21 9:50:08 PM AST","Project","2","5","With all the different version I needed to submit it definitely helped guide me. ","Maybe go more in depth into the descriptions.","","","","","","","","","","","","",""
"2021/12/21 9:50:10 PM AST","Project","4","5","Rubric was good, said what was needed and directed to any necessary sources","N/A","","","","","","","","","","","","",""
"2021/12/21 9:50:11 PM AST","Project","3","5","No comment, this rubric was solid and told me what was needed","N/A","","","","","","","","","","","","",""
"2021/12/21 9:50:12 PM AST","Project","5","4","","maybe put some example about it","","","","","","","","","","","","",""
"2021/12/21 9:50:14 PM AST","Project","4","4","","Clarification on ""best practice""","","","","","","","","","","","","",""
"2021/12/21 9:50:15 PM AST","Project","3","3","","","","","","","","","","","","","","",""
"2021/12/21 9:50:16 PM AST","Project","4","5","It was clear and easy to read.","I believe that it is perfectly fine, and no improvement is needed!","","","","","","","","","","","","",""
"2021/12/21 9:50:18 PM AST","Project","4","5","The reminder to consider all edge cases was helpful.","I'm not sure. I thought it was very good.","","","","","","","","","","","","",""
"2021/12/21 9:50:19 PM AST","Project","4","5","I know what I needed to add","Not a problem with the rubric but it was hard at first to conceptualize what this project wanted me to add to the project","","","","","","","","","","","","",""
"2021/12/21 9:50:21 PM AST","Project","3","5","It mentioned everything I needed","","","","","","","","","","","","","",""
"2021/12/21 9:50:22 PM AST","Project","4","5","clear instructions","","","","","","","","","","","","","",""
"2021/12/21 9:50:23 PM AST","Project","3","5","Outlined the specific things to work on, like the methods and loops.","Seems good to me.","","","","","","","","","","","","",""
"2021/12/21 9:50:25 PM AST","Project","3","5","It helped me to know the problem in a detailed manner.","was difficult to understand the two methods and what to do in that as well.","","","","","","","","","","","","",""
"2021/12/21 9:50:26 PM AST","Project","3","5","It was very easy to understand what was expected of me for this project.","I have no issues with this rubric.","","","","","","","","","","","","",""
"2021/12/21 9:50:28 PM AST","Project","3","5","It was very descriptive with everything we needed to include. It also included how our methods should be formed which was very helpful.","N/A","","","","","","","","","","","","",""
"2021/12/21 9:50:29 PM AST","Project","3","5","Pretty easy to understand and self-explanatory","Nothing","","","","","","","","","","","","",""
"2021/12/21 9:50:30 PM AST","Project","2","5","It was clear about what should be completed.","The explanations within the Newton 1-4 rubrics seemed a little vague.","","","","","","","","","","","","",""
"2021/12/21 9:50:32 PM AST","Project","2","3","not really","it's ok","","","","","","","","","","","","",""
"2021/12/21 9:50:33 PM AST","Project","2","5","It included what elements of code were required in our program.","I'm not sure. I thought it was pretty good.","","","","","","","","","","","","",""
"2021/12/21 9:50:34 PM AST","Project","2","4","Gave me a good concept of what I was trying to accomplish for the project.","The Newton Iteration explanation could be better, it left me a bit confused at first.","","","","","","","","","","","","",""
"2021/12/21 9:50:36 PM AST","Project","2","4","It states the process and method very well so that we can work accordingly and helps us to make sure that we don't miss any steps.","The second last step which says copy Newton3, and pastes as Newton4 is a bit confusing to understand the complete step we have to do in it. So it could be specified with some more details.","","","","","","","","","","","","",""
"2021/12/21 9:50:37 PM AST","Project","2","5","It was very clear in what it was trying to convey.","I would have liked more information on what ""best practice implementations"" are. Otherwise, it was a good rubric.","","","","","","","","","","","","",""
"2021/12/21 9:50:39 PM AST","Project","2","4","It was pretty simple and easy to understand","Maybe define the line between ""valid"" and ""best"" implementation?","","","","","","","","","","","","",""
"2021/12/21 9:50:40 PM AST","Project","2","5","I think this rubric was very straightforward with what it was asking us to do.","Not about the rubric, but a link to the best practices in the project assignment on Carmen would be useful.","","","","","","","","","","","","",""
"2021/12/21 9:50:42 PM AST","Project","2","4","It was pretty straightforward.","Maybe be a bit more specific by what ""best practices"" mean, but honestly, for this project, it wasn't really a problem.","","","","","","","","","","","","",""
"2021/12/21 9:50:43 PM AST","Project","2","4","The rubric was useful in helping me review my code, but it was not entirely clear was ""best practice implementation"" was.","Be more clear as to what ""Best practice implementation"" is.","","","","","","","","","","","","",""
"2021/12/21 9:50:44 PM AST","Project","1","4","It is very informative about what specifically I'm getting graded on","I don't know where to write about life-long learning skills in my project","","","","","","","","","","","","",""
"2021/12/21 9:50:46 PM AST","Project","1","4","It detailed what was expected for the assignment.","I'm not quite sure what the standard HTML conventions are, or at least what is expected for the class.","","","","","","","","","","","","",""
"2021/12/21 9:50:47 PM AST","Project","1","4","Well defined goals to get points.","Maybe add examples?","","","","","","","","","","","","",""
"2021/12/21 9:50:48 PM AST","Project","1","4","It gave me a good idea of the relative importance of the different parts of the project.","This is a pretty minor detail, but I think it would be helpful to include the best place for students to put their explanation of how they learned HTML (on the website, in a separate pdf, etc.).","","","","","","","","","","","","",""
"2021/12/21 9:50:50 PM AST","Project","1","4","The rubric helped me to walk through what I would need to complete for the assignment. I knew what I had to do for each section of the rubric.","I think the rubric was good, but I was unaware that there was an exact rubric attached to the assignment at first. Although I later realized, it may have been nice to have a gentle reminder about the rubric somewhere in the project guidelines from the schedule.","","","","","","","","","","","","",""
"2021/12/21 9:50:51 PM AST","Project","1","4","It laid out the 3 criteria clearly.","Less of a comment on the rubric itself, but the site's requirements differ, and that caught we off-guard on the third requirement.","","","","","","","","","","","","",""
"2021/12/21 9:50:53 PM AST","Project","1","4","It helped to make sure that I included all of the different components I needed.","More explanation on what ""best practices"" are.","","","","","","","","","","","","",""
"2021/12/21 9:50:54 PM AST","Project","1","2","Knowing generally what to do","Be more specific for each point. I don’t know what I should do to fulfill the “students should know what life-long learning skills” part of the rubric","","","","","","","","","","","","",""
"2021/12/21 9:50:55 PM AST","Project","1","4","It outlined what I needed to include","not sure","","","","","","","","","","","","",""
"2021/12/21 9:50:56 PM AST","Project","1","4","It helped outline what I needed to include and make notes of while doing the project.","I feel like ""best practices"" is extremely vague, and with that, I have no idea what the best practices are since I've never used HTML up until now.","","","","","","","","","","","","",""
"2021/12/21 9:50:58 PM AST","Project","1","4","Project description didn't mention anything about including how we learned HTML","Doesn't clarify what HTML best practices are - some people believe different things are best practice","","","","","","","","","","","","",""
"2021/12/21 9:50:59 PM AST","Project","1","4","The rubric was mostly clear. I wasn't sure how exactly I was supposed to show the ""Life-Long Values"" part of the rubric as I wasn't sure if I was supposed to explicitly or implicitly say how I learned to code html.","The extra two points could be more clear on what we would need to do.","","","","","","","","","","","","",""
"2021/12/21 9:51:00 PM AST","Project","1","5","Gave me better insight on what to all elements need to be present and the breakdown helped to know where to focus.","The rubric is perfect.","","","","","","","","","","","","",""
"2021/12/21 9:51:02 PM AST","Project","1","5","It helped me learn new things about Eclipse which was totally new for me. Providing this task helped me learn about HTML.","I don’t think something else is required, but I would say it could contain some more basic information about HTML for the one’s who are new to the platform.","","","","","","","","","","","","",""
"2021/12/21 9:51:03 PM AST","Project","1","4","Makes a lot easier to review my code/work","Be more detailed with the rubric and explain ""Understanding of Life-long Learning Skills"" more.","","","","","","","","","","","","",""
"2021/12/21 9:51:05 PM AST","Project","1","5","It helped me generally organize how I was going to go about doing the project.  It made me actually learn how to use HTML instead of not putting in full effort to learn life long learning skills which will help me greatly in the future.  ","I think it could have had more specific instructions on how to go about the project.  However I think the vagueness of the rubric meant we had to learn ourselves instead of relying on the rubric to guide us through it.  ","","","","","","","","","","","","",""
"2021/12/21 9:51:06 PM AST","Project","1","3","no need","set up grading criteria","","","","","","","","","","","","",""
"2021/12/21 9:51:07 PM AST","Project","1","5","telling me that i needed to have resources on how i learned html","maybe more specific considerations? there are requirements in the doc not on the rubric","","","","","","","","","","","","",""
"2021/12/21 9:51:09 PM AST","Project","1","5","It helped me understand what was expected of me and of what quality the project should be.","The only thing I would like added is what good coding conventions are for HTML and how I can follow them.","","","","","","","","","","","","",""
"2022/01/11 5:07:57 PM AST","Homework","","","","","","","","1","No","","","","0.5","The textbook","Joy","Enjoyment","Joy;Pride"
"2022/01/11 11:44:22 PM AST","Homework","","","","","","","","1","No","","","","1","The book","Anxiety","Nervous","Nervous"
"2022/01/12 12:59:34 AM AST","Homework","","","","","","","","1","No","","","",".4","The Textbook and the Readings","Joy","Boredom","meh"
"2022/01/12 7:06:54 PM AST","Homework","","","","","","","","1","No","","","","1.5 ","Book (Chapter 1)","Anxiety","Enjoyment","Pride"
"2022/01/12 7:10:44 PM AST","Homework","","","","","","","","1","No","","","",".5","opensource.com to learn about markdown, google for definitions of terms","content","content","content"
"2022/01/12 10:38:52 PM AST","Homework","","","","","","","","1","No","","","","1","Textbook, previous knowledge","Anxiety","Enjoyment;Boredom","Relief"
"2022/01/12 11:02:09 PM AST","Homework","","","","","","","","1","No","","","",".5","textbook","Hope","Boredom","Gratitude"
"2022/01/13 1:41:14 AM AST","Homework","","","","","","","","1","No","","","","1","The java book provided","Nothing","Nothing","Joy"
"2022/01/13 2:14:54 AM AST","Homework","","","","","","","","1","No","","","","1","The textbook and course policies information.","Stress but only because I almost forgot about it.","Boredom","Pride"
"2022/01/13 11:15:15 AM AST","Homework","","","","","","","","1","No","","","","1","textbook and google","Anxiety","Enjoyment","Pride"
